issue,title,url
Vol 5 No 1 (2023): CCR 5 (1),"Going Micro to Go Negative
							
					Targeting Toxicity using Facebook and Instagram Ads",https://computationalcommunication.org/ccr/article/view/124/57
Vol 5 No 1 (2023): CCR 5 (1),"Attraction Behind Beauty:
							
					Revealing Gay Men’s Self-Presentation on a Dating App with Computer Vision",https://computationalcommunication.org/ccr/article/view/132/58
Vol 5 No 1 (2023): CCR 5 (1),"grafzahl
							
					fine-tuning Transformers for text data from within R",https://computationalcommunication.org/ccr/article/view/178/59
Vol 5 No 1 (2023): CCR 5 (1),"Automated Detection of Voice in News Texts
							
					Evaluating Tools for Reported Speech and Speaker Recognition",https://computationalcommunication.org/ccr/article/view/133/60
