issue,title,url
Vol 1 No 1 (2019): Inaugural Issue,A Roadmap for Computational Communication Research,https://computationalcommunication.org/ccr/article/view/37/1
Vol 1 No 1 (2019): Inaugural Issue,iCoRe: The GDELT Interface for the Advancement of Communication Research,https://computationalcommunication.org/ccr/article/view/27/2
Vol 1 No 1 (2019): Inaugural Issue,"News Organizations’ Selective Link Sharing as Gatekeeping
							
					A Structural Topic Model Approach",https://computationalcommunication.org/ccr/article/view/10/3
Vol 1 No 1 (2019): Inaugural Issue,"Computational observation
							
					Challenges and opportunities of automated observation within algorithmically curated information environments using a browser plug-in",https://computationalcommunication.org/ccr/article/view/21/4
Vol 1 No 1 (2019): Inaugural Issue,An experimental study of recommendation algorithms for tailored health communication,https://computationalcommunication.org/ccr/article/view/22/5
