issue,title,url
Vol 2 No 1 (2020): CCR 2 (1),"Simulating hidden dynamics
							
					Introducing Agent-Based Models as a tool for linkage analysis",https://computationalcommunication.org/ccr/article/view/17/8
Vol 2 No 1 (2020): CCR 2 (1),Conversational Agent Research Toolkit: An alternative for creating and managing chatbots for experimental research,https://computationalcommunication.org/ccr/article/view/9/9
Vol 2 No 1 (2020): CCR 2 (1),3bij3 – Developing a framework for researching recommender systems and their effects,https://computationalcommunication.org/ccr/article/view/11/11
Vol 2 No 1 (2020): CCR 2 (1),"Opinion-based Homogeneity on YouTube
							
					Combining Sentiment and Social Network Analysis",https://computationalcommunication.org/ccr/article/view/15/7
Vol 2 No 1 (2020): CCR 2 (1),"Detecting Incivility and Impoliteness in Online Discussions
							
					Classification Approaches for German User Comments.",https://computationalcommunication.org/ccr/article/view/19/10
