issue,title,url
Vol 3 No 3 (2021): CCR 3 (3),"Greasing the wheels for comparative communication research
							
					Supervised text classification for multilingual corpora",https://computationalcommunication.org/ccr/article/view/109/35
Vol 3 No 3 (2021): CCR 3 (3),"Greasing the wheels for comparative communication research
							
					Supervised text classification for multilingual corpora",https://computationalcommunication.org/ccr/article/view/109/36
Vol 3 No 3 (2021): CCR 3 (3),"Greasing the wheels for comparative communication research
							
					Supervised text classification for multilingual corpora",https://computationalcommunication.org/ccr/article/view/109/37
