issue,title,authors,url,pdf_url
Vol 4 No 2 (2022): CCR 4 (2),OSD2F: An Open-Source Data Donation Framework,"Theo Araujo, Jef Ausloos, Wouter van Atteveldt, Felicia Loecherbach, Judith Moeller, Jakob Ohme, Damian Trilling, Bob van de Velde, Claes de Vreese, Kasper Welbers",https://computationalcommunication.org/ccr/article/view/125,https://computationalcommunication.org/ccr/article/download/125/49
Vol 4 No 2 (2022): CCR 4 (2),A framework for privacy preserving digital trace data collection through data donation,"Laura Boeschoten, Theo Araujo, Jef Ausloos, Judith Möller, Daniel Oberski",https://computationalcommunication.org/ccr/article/view/116,https://computationalcommunication.org/ccr/article/download/116/50
Vol 4 No 2 (2022): CCR 4 (2),"The Sentiment is in the Details
							
					A Language-agnostic Approach to Dictionary Expansion and Sentence-level Sentiment Analysis in News Media",Erik de Vries,https://computationalcommunication.org/ccr/article/view/115,https://computationalcommunication.org/ccr/article/download/115/51
Vol 4 No 2 (2022): CCR 4 (2),"Fifteen Seconds of Fame
							
					TikTok and the Supply Side of Social Video","Benjamin Guinaudeau, Kevin Munger, Fabio Votta",https://computationalcommunication.org/ccr/article/view/114,https://computationalcommunication.org/ccr/article/download/114/52
Vol 4 No 2 (2022): CCR 4 (2),Talking politics: Building data-driven lexica to measure political discussion quality,Kokil Jaidka,https://computationalcommunication.org/ccr/article/view/130,https://computationalcommunication.org/ccr/article/download/130/53
Vol 4 No 2 (2022): CCR 4 (2),"Beyond Counting Words:
							
					Assessing Performance of Dictionaries, Supervised Machine Learning, and Embeddings in Topic and Frame Classification","A.C. Kroon, Toni G. L. A. Van der Meer, Rens Vliegenthart",https://computationalcommunication.org/ccr/article/view/41,https://computationalcommunication.org/ccr/article/download/41/54
Vol 4 No 2 (2022): CCR 4 (2),"The 4CAT Capture and Analysis Toolkit
							
					A Modular Tool for Transparent and Traceable Social Media Research","Stijn Peeters, Sal Hagen",https://computationalcommunication.org/ccr/article/view/120,https://computationalcommunication.org/ccr/article/download/120/55
Vol 4 No 2 (2022): CCR 4 (2),"Do I sound American?
							
					How message attributes of Internet Research Agency (IRA) disinformation relate to Twitter engagement","Jiyoun Suk, Josephine Lukito, Min-Hsin Su, Sang Jung Kim, Chau Tong, Zhongkai Sun, Prathusha Sarma",https://computationalcommunication.org/ccr/article/view/94,https://computationalcommunication.org/ccr/article/download/94/56
