issue,title,authors,url,pdf_url
Vol 5 No 1 (2023): CCR 5 (1),"Going Micro to Go Negative
							
					Targeting Toxicity using Facebook and Instagram Ads","Fabio Votta, Arman Noroozian, Tom Dobber, Natali Helberger, Claes de Vreese",https://computationalcommunication.org/ccr/article/view/124,https://computationalcommunication.org/ccr/article/download/124/57
Vol 5 No 1 (2023): CCR 5 (1),"Attraction Behind Beauty:
							
					Revealing Gay Men’s Self-Presentation on a Dating App with Computer Vision","Jia Fan, Yanming Chen, Lun Zhang, Ye Wu, Xiao Fan Liu",https://computationalcommunication.org/ccr/article/view/132,https://computationalcommunication.org/ccr/article/download/132/58
Vol 5 No 1 (2023): CCR 5 (1),"grafzahl
							
					fine-tuning Transformers for text data from within R",Chung-hong Chan,https://computationalcommunication.org/ccr/article/view/178,https://computationalcommunication.org/ccr/article/download/178/59
Vol 5 No 1 (2023): CCR 5 (1),"Automated Detection of Voice in News Texts
							
					Evaluating Tools for Reported Speech and Speaker Recognition","Ahrabhi Kathirgamalingam, Fabienne Lind, Hajo Boomgaarden",https://computationalcommunication.org/ccr/article/view/133,https://computationalcommunication.org/ccr/article/download/133/60
