issue,title,authors,url,pdf_url
Vol 2 No 1 (2020): CCR 2 (1),"Simulating hidden dynamics
							
					Introducing Agent-Based Models as a tool for linkage analysis",Martin Wettstein,https://computationalcommunication.org/ccr/article/view/17,https://computationalcommunication.org/ccr/article/download/17/8
Vol 2 No 1 (2020): CCR 2 (1),Conversational Agent Research Toolkit: An alternative for creating and managing chatbots for experimental research,Theo Araujo,https://computationalcommunication.org/ccr/article/view/9,https://computationalcommunication.org/ccr/article/download/9/9
Vol 2 No 1 (2020): CCR 2 (1),3bij3 – Developing a framework for researching recommender systems and their effects,"Felicia Loecherbach, Damian Trilling",https://computationalcommunication.org/ccr/article/view/11,https://computationalcommunication.org/ccr/article/download/11/11
Vol 2 No 1 (2020): CCR 2 (1),"Opinion-based Homogeneity on YouTube
							
					Combining Sentiment and Social Network Analysis","Daniel Röchert, German Neubaum, Björn Ross, Florian Brachten, Stefan Stieglitz",https://computationalcommunication.org/ccr/article/view/15,https://computationalcommunication.org/ccr/article/download/15/7
Vol 2 No 1 (2020): CCR 2 (1),"Detecting Incivility and Impoliteness in Online Discussions
							
					Classification Approaches for German User Comments.","Anke Stoll, Marc Ziegele, Oliver Quiring",https://computationalcommunication.org/ccr/article/view/19,https://computationalcommunication.org/ccr/article/download/19/10
